id,id_incident,date,weekday,time,shift,type,officers_required,location,police,police_weight,police_action,Police_action_weight,injury,injury_weight,damage,damage_weight,workplace_violen,woekplace_violence_Weight,assault_weight,officers_weighted,assault,officers_total,severity
7859,130001,1/1/2013,3,11:40:00 AM,1,19 Show Of Force - HEB,1,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,1,low
7858,130000,1/1/2013,3,4:38:00 AM,3,19 Show Of Force - HEB,1,Hospital Grounds,NO,1,Verbal,1.1,FALSE,1,FALSE,1,TRUE,1.35,1,1.485,FALSE,2,med
7860,130002,1/1/2013,3,10:24:00 PM,3,19 Show Of Force - HEB,1,Emergency Department,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,2,med
7861,130003,1/2/2013,4,1:10:00 PM,1,15 Injury Report,2,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,1,low
7862,130004,1/3/2013,5,7:10:00 PM,2,10a Code White - Springwood,2,Springwood,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,3,high
7863,130005,1/4/2013,6,2:40:00 PM,2,09 Code Pink,3,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7864,130006,1/4/2013,6,4:10:00 PM,2,10 Code White - HEB,2,Main,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,2,med
7865,130007,1/5/2013,7,11:22:00 PM,3,10 Code White - HEB,2,Main,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,2,med
7866,130008,1/5/2013,7,8:30:00 AM,1,09 Code Pink,3,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7867,130009,1/5/2013,7,4:10:00 PM,2,10a Code White - Springwood,2,Springwood,NO,1,Physical,1.35,FALSE,1,FALSE,1,TRUE,1.35,1.25,4.55625,TRUE,2,med
7868,130010,1/5/2013,7,11:15:00 PM,3,32 Other,1,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,1,FALSE,2,med
7869,130011,1/6/2013,1,7:31:00 PM,2,09 Code Pink,3,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,2,med
7870,130012,1/8/2013,3,8:55:00 AM,1,23 Theft Hospital,2,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,1,low
7871,130013,1/8/2013,3,12:26:00 PM,1,19a Show Of Force - Springwood ,1,Hospital Grounds,NO,1,Physical,1.35,FALSE,1,FALSE,1,FALSE,1,1,1.35,FALSE,3,high
7872,130014,1/8/2013,3,5:51:00 PM,2,10 Code White - HEB,2,Main,NO,1,Physical,1.35,FALSE,1,FALSE,1,FALSE,1,1,2.7,FALSE,1,low
7873,130015,1/9/2013,4,1:03:00 AM,3,09 Code Pink,3,Womens Center,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,3,FALSE,1,low
7874,130016,1/9/2013,4,12:11:00 AM,3,10 Code White - HEB,2,Main,NO,1,Physical,1.35,FALSE,1,FALSE,1,FALSE,1,1,2.7,FALSE,2,med
7875,130017,1/9/2013,4,8:26:00 PM,2,10a Code White - Springwood,2,Springwood,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,3,high
7876,130018,1/10/2013,5,1:25:00 PM,1,21 Suspicious Person,2,Hospital Grounds,NO,1,N/A,1,FALSE,1,FALSE,1,FALSE,1,1,2,FALSE,1,low
